city,stateCode,countryCode,total
Town of Wausaukee,WI,US,6
Glen Flora,WI,US,45
Little Chute,WI,US,1
Lake Nebagamon,WI,US,2
Hartford,WI,US,86
Portage,WI,US,2
Milton,WI,US,1
Town of Emery,WI,US,1
Antigo,WI,US,6
Hayward,WI,US,7
Maribel,WI,US,2
Cadott,WI,US,627
The Dells,WI,US,2
Bridgeport,WI,US,3
Williams Bay,WI,US,9
Cedar Grove,WI,US,1
Baraboo,WI,US,61
Gays Mills,WI,US,3
Bayfield,WI,US,62
Siren,WI,US,1
Rothschild,WI,US,2
Lake Delton,WI,US,88
Wisconsin Dells,WI,US,52
Dodgeville,WI,US,5
Marinette,WI,US,9
Waunakee,WI,US,9
Janesville,WI,US,173
Waterford,WI,US,1
Oak Creek,WI,US,3
Nekoosa,WI,US,1
La Pointe,WI,US,27
Eagle River,WI,US,1
Altoona,WI,US,10
Norma,WI,US,1
Wausau,WI,US,136
Coon Valley,WI,US,1
Crandon,WI,US,3
Brule,WI,US,1
Almond,WI,US,1
Black River Falls,WI,US,29
Elm Grove,WI,US,1
Appleton,WI,US,211
Mosinee,WI,US,2
Saukville,WI,US,1
Waukesha,WI,US,145
Tisch Mills,WI,US,4
Sparta,WI,US,45
Viroqua,WI,US,13
Fremont,WI,US,3
Mequon,WI,US,16
Wauwatosa,WI,US,11
Weston,WI,US,1
Krakow,WI,US,1
Minong,WI,US,12
Green Bay,WI,US,1395
Algoma,WI,US,1
Eau Claire,WI,US,446
Waupaca,WI,US,14
Lake Geneva,WI,US,9
Oneida,WI,US,2
Troy,WI,US,1083
Prescott,WI,US,1
Wales,WI,US,30
La Crosse,WI,US,705
Mount Calvary,WI,US,1
Manawa,WI,US,1
Egg Harbor,WI,US,4
Oshkosh,WI,US,745
Cudahy,WI,US,291
Somerset,WI,US,782
Twin Lakes,WI,US,292
Hill Point,WI,US,2
Franklin,WI,US,11
West Allis,WI,US,466
Big Bend,WI,US,1
Franksville,WI,US,17
East Troy,WI,US,1083
Delavan,WI,US,1
Blue River,WI,US,2
New Berlin,WI,US,1
Merrimac,WI,US,3
Cornell,WI,US,2
Jackson,WI,US,1
Germantown,WI,US,1
Orihula,WI,US,1
West Bend,WI,US,44
Trempealeau,WI,US,9
Fish Creek,WI,US,35
Hartland,WI,US,1
Menomonee Falls,WI,US,2
Sheboygan Falls,WI,US,2
Rice Lake,WI,US,22
Turtle Lake,WI,US,46
Neillsville,WI,US,2
Baileys Harbor,WI,US,1
Darien,WI,US,1
Evansville,WI,US,4
Burlington,WI,US,9
Tomahawk,WI,US,12
Kaukauna,WI,US,32
Wisconsin Rapids,WI,US,9
City of Wauwatosa,WI,US,2
Fond du Lac,WI,US,50
Maple Creek,WI,US,1
Solon Springs,WI,US,3
Curtiss,WI,US,1
Amery,WI,US,2
Mineral Point,WI,US,2
Menasha,WI,US,29
Whitewater,WI,US,18
Bay View,WI,US,5
Marshfield,WI,US,30
Town of West Bend,WI,US,3
City of Milwaukee,WI,US,1
Slinger,WI,US,3
Wilson,WI,US,2
Holmen,WI,US,1
Bloomer,WI,US,1
Clear Lake,WI,US,2
Gleason,WI,US,2
Tomah,WI,US,12
Fort Atkinson,WI,US,42
Shawano,WI,US,2
Lake Mills,WI,US,1
Johnson Creek,WI,US,6
Seymour,WI,US,43
Salem,WI,US,8
Custer,WI,US,1
Spring Green,WI,US,14
Saint Croix Falls,WI,US,1
Kewaunee,WI,US,2
Racine,WI,US,197
Caledonia,WI,US,1
Hazel Green,WI,US,3
Cable,WI,US,2
Powell,WY,US,3
Cheyenne,WY,US,233
Teton Village,WY,US,62
Moran,WY,US,7
Green River,WY,US,31
Jackson,WY,US,195
Pinedale,WY,US,2
Alpine,WY,US,1
Douglas,WY,US,5
Rock Springs,WY,US,23
Buffalo,WY,US,1
Alta,WY,US,88
Fort Washakie,WY,US,1
Bar Nunn,WY,US,2
Riverton,WY,US,9
Kemmerer,WY,US,6
Casper,WY,US,341
